Year,Month,Value
1999,Jan,4.63
1999,Feb,4.76
1999,Mar,4.81
1999,Apr,4.74
1999,May,4.74
1999,Jun,4.76
1999,Jul,4.99
1999,Aug,5.07
1999,Sep,5.22
1999,Oct,5.2
1999,Nov,5.42
1999,Dec,5.3
2000,Jan,5.45
2000,Feb,5.73
2000,Mar,5.85
2000,Apr,6.02
2000,May,6.27
2000,Jun,6.53
2000,Jul,6.54
2000,Aug,6.5
2000,Sep,6.52
2000,Oct,6.51
2000,Nov,6.51
2000,Dec,6.4
2001,Jan,5.98
2001,Feb,5.49
2001,Mar,5.31
2001,Apr,4.8
2001,May,4.21
2001,Jun,3.97
2001,Jul,3.77
2001,Aug,3.65
2001,Sep,3.07
2001,Oct,2.49
2001,Nov,2.09
2001,Dec,1.82
2002,Jan,1.73
2002,Feb,1.74
2002,Mar,1.73
2002,Apr,1.75
2002,May,1.75
2002,Jun,1.75
2002,Jul,1.73
2002,Aug,1.74
2002,Sep,1.75
2002,Oct,1.75
2002,Nov,1.34
2002,Dec,1.24
2003,Jan,1.24
2003,Feb,1.26
2003,Mar,1.25
2003,Apr,1.26
2003,May,1.26
2003,Jun,1.22
2003,Jul,1.01
2003,Aug,1.03
2003,Sep,1.01
2003,Oct,1.01
2003,Nov,1
2003,Dec,0.98
2004,Jan,1
2004,Feb,1.01
2004,Mar,1
2004,Apr,1
2004,May,1
2004,Jun,1.03
2004,Jul,1.26
2004,Aug,1.43
2004,Sep,1.61
2004,Oct,1.76
2004,Nov,1.93
2004,Dec,2.16
2005,Jan,2.28
2005,Feb,2.5
2005,Mar,2.63
2005,Apr,2.79
2005,May,3
2005,Jun,3.04
2005,Jul,3.26
2005,Aug,3.5
2005,Sep,3.62
2005,Oct,3.78
2005,Nov,4
2005,Dec,4.16
2006,Jan,4.29
2006,Feb,4.49
2006,Mar,4.59
2006,Apr,4.79
2006,May,4.94
2006,Jun,4.99
2006,Jul,5.24
2006,Aug,5.25
2006,Sep,5.25
2006,Oct,5.25
2006,Nov,5.25
2006,Dec,5.24
2007,Jan,5.25
2007,Feb,5.26
2007,Mar,5.26
2007,Apr,5.25
2007,May,5.25
2007,Jun,5.25
2007,Jul,5.26
2007,Aug,5.02
2007,Sep,4.94
2007,Oct,4.76
2007,Nov,4.49
2007,Dec,4.24
2008,Jan,3.94
2008,Feb,2.98
2008,Mar,2.61
2008,Apr,2.28
2008,May,1.98
2008,Jun,2
2008,Jul,2.01
2008,Aug,2
2008,Sep,1.81
2008,Oct,0.97
2008,Nov,0.39
2008,Dec,0.16
2009,Jan,0.15
2009,Feb,0.22
2009,Mar,0.18
2009,Apr,0.15
2009,May,0.18
2009,Jun,0.21
2009,Jul,0.16
2009,Aug,0.16
2009,Sep,0.15
2009,Oct,0.12
2009,Nov,0.12
2009,Dec,0.12
2010,Jan,0.11
2010,Feb,0.13
2010,Mar,0.16
2010,Apr,0.2
2010,May,0.2
2010,Jun,0.18
2010,Jul,0.18
2010,Aug,0.19
2010,Sep,0.19
2010,Oct,0.19
2010,Nov,0.19
2010,Dec,0.18
2011,Jan,0.17
