Year,Month,Value
1999,Jan,4.3
1999,Feb,4.4
1999,Mar,4.2
1999,Apr,4.3
1999,May,4.2
1999,Jun,4.3
1999,Jul,4.3
1999,Aug,4.2
1999,Sep,4.2
1999,Oct,4.1
1999,Nov,4.1
1999,Dec,4
2000,Jan,4
2000,Feb,4.1
2000,Mar,4
2000,Apr,3.8
2000,May,4
2000,Jun,4
2000,Jul,4
2000,Aug,4.1
2000,Sep,3.9
2000,Oct,3.9
2000,Nov,3.9
2000,Dec,3.9
2001,Jan,4.2
2001,Feb,4.2
2001,Mar,4.3
2001,Apr,4.4
2001,May,4.3
2001,Jun,4.5
2001,Jul,4.6
2001,Aug,4.9
2001,Sep,5
2001,Oct,5.3
2001,Nov,5.5
2001,Dec,5.7
2002,Jan,5.7
2002,Feb,5.7
2002,Mar,5.7
2002,Apr,5.9
2002,May,5.8
2002,Jun,5.8
2002,Jul,5.8
2002,Aug,5.7
2002,Sep,5.7
2002,Oct,5.7
2002,Nov,5.9
2002,Dec,6
2003,Jan,5.8
2003,Feb,5.9
2003,Mar,5.9
2003,Apr,6
2003,May,6.1
2003,Jun,6.3
2003,Jul,6.2
2003,Aug,6.1
2003,Sep,6.1
2003,Oct,6
2003,Nov,5.8
2003,Dec,5.7
2004,Jan,5.7
2004,Feb,5.6
2004,Mar,5.8
2004,Apr,5.6
2004,May,5.6
2004,Jun,5.6
2004,Jul,5.5
2004,Aug,5.4
2004,Sep,5.4
2004,Oct,5.5
2004,Nov,5.4
2004,Dec,5.4
2005,Jan,5.3
2005,Feb,5.4
2005,Mar,5.2
2005,Apr,5.2
2005,May,5.1
2005,Jun,5
2005,Jul,5
2005,Aug,4.9
2005,Sep,5
2005,Oct,5
2005,Nov,5
2005,Dec,4.9
2006,Jan,4.7
2006,Feb,4.8
2006,Mar,4.7
2006,Apr,4.7
2006,May,4.6
2006,Jun,4.6
2006,Jul,4.7
2006,Aug,4.7
2006,Sep,4.5
2006,Oct,4.4
2006,Nov,4.5
2006,Dec,4.4
2007,Jan,4.6
2007,Feb,4.5
2007,Mar,4.4
2007,Apr,4.5
2007,May,4.4
2007,Jun,4.6
2007,Jul,4.7
2007,Aug,4.6
2007,Sep,4.7
2007,Oct,4.7
2007,Nov,4.7
2007,Dec,5
2008,Jan,5
2008,Feb,4.9
2008,Mar,5.1
2008,Apr,5
2008,May,5.4
2008,Jun,5.6
2008,Jul,5.8
2008,Aug,6.1
2008,Sep,6.1
2008,Oct,6.5
2008,Nov,6.8
2008,Dec,7.3
2009,Jan,7.8
2009,Feb,8.3
2009,Mar,8.7
2009,Apr,9
2009,May,9.4
2009,Jun,9.5
2009,Jul,9.5
2009,Aug,9.6
2009,Sep,9.8
2009,Oct,10
2009,Nov,9.9
2009,Dec,9.9
2010,Jan,9.8
2010,Feb,9.8
2010,Mar,9.9
2010,Apr,9.9
2010,May,9.6
2010,Jun,9.4
2010,Jul,9.4
2010,Aug,9.5
2010,Sep,9.5
2010,Oct,9.4
2010,Nov,9.8
2010,Dec,9.3
2011,Jan,9.1
2011,Feb,9
2011,Mar,9
2011,Apr,9.1
2011,May,9
2011,Jun,9.1
2011,Jul,9
2011,Aug,9
2011,Sep,9
2011,Oct,8.8
2011,Nov,8.6
2011,Dec,8.5
2012,Jan,8.3
2012,Feb,8.3
2012,Mar,8.2
2012,Apr,8.2
2012,May,8.2
2012,Jun,8.2
2012,Jul,8.2
2012,Aug,8.1
2012,Sep,7.8
2012,Oct,7.8
2012,Nov,7.7
2012,Dec,7.9
2013,Jan,8
2013,Feb,7.7
2013,Mar,7.5
2013,Apr,7.6
2013,May,7.5
2013,Jun,7.5
2013,Jul,7.3
2013,Aug,7.2
2013,Sep,7.2
2013,Oct,7.2
2013,Nov,6.9
2013,Dec,6.7
2014,Jan,6.6
2014,Feb,6.7
2014,Mar,6.7
2014,Apr,6.2
2014,May,6.3
2014,Jun,6.1
2014,Jul,6.2
2014,Aug,6.1
2014,Sep,5.9
2014,Oct,5.7
2014,Nov,5.8
2014,Dec,5.6
2015,Jan,5.7
2015,Feb,5.5
2015,Mar,5.4
2015,Apr,5.4
2015,May,5.6
2015,Jun,5.3
2015,Jul,5.2
2015,Aug,5.1
2015,Sep,5
2015,Oct,5
2015,Nov,5.1
2015,Dec,5
2016,Jan,4.8
2016,Feb,4.9
2016,Mar,5
2016,Apr,5.1
2016,May,4.8
2016,Jun,4.9
2016,Jul,4.8
2016,Aug,4.9
2016,Sep,5
2016,Oct,4.9
2016,Nov,4.7
2016,Dec,4.7
2017,Jan,4.7
2017,Feb,4.6
2017,Mar,4.4
2017,Apr,4.4
2017,May,4.4
2017,Jun,4.3
2017,Jul,4.3
2017,Aug,4.4
2017,Sep,4.3
2017,Oct,4.2
2017,Nov,4.2
2017,Dec,4.1
2018,Jan,4
2018,Feb,4.1
2018,Mar,4
2018,Apr,4
2018,May,3.8
2018,Jun,4
2018,Jul,3.8
2018,Aug,3.8
2018,Sep,3.7
2018,Oct,3.8
2018,Nov,3.8
2018,Dec,3.9
2019,Jan,4
2019,Feb,3.8
2019,Mar,3.8
2019,Apr,3.7
2019,May,3.6
2019,Jun,3.6
2019,Jul,3.7
2019,Aug,3.6
